flow_id,src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,noofpackets,packets
10.10.10.165-105.102.223.228-80-17269-166,10.10.10.165,105.102.223.228,80,17269,6,2024-06-01 16:09:33,0.043392181396484375,2627201.4065934066,46091.25274725275,23045.626373626375,23045.626373626375,1,1,60,54,60.0,60.0,60.0,0.0,54.0,54.0,54.0,0.0,60,54,57.0,3.0,9.0,20,20,20,1,0.043392181396484375,0.043392181396484375,0.043392181396484375,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,57.0,64240,32767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,167_169
10.10.10.165-118.73.247.45-80-17771-171,10.10.10.165,118.73.247.45,80,17771,6,2024-06-01 16:09:33,0.1697540283203125,671559.9101123596,11781.752808988764,5890.876404494382,5890.876404494382,1,1,60,54,60.0,60.0,60.0,0.0,54.0,54.0,54.0,0.0,60,54,57.0,3.0,9.0,20,20,20,1,0.1697540283203125,0.1697540283203125,0.1697540283203125,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,57.0,64240,32767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,176_178
10.10.10.165-167.81.211.53-80-17268-165,10.10.10.165,167.81.211.53,80,17268,6,2024-06-01 16:09:33,0.03910064697265625,2915552.7804878047,51150.04878048781,25575.024390243903,25575.024390243903,1,1,60,54,60.0,60.0,60.0,0.0,54.0,54.0,54.0,0.0,60,54,57.0,3.0,9.0,20,20,20,1,0.03910064697265625,0.03910064697265625,0.03910064697265625,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,57.0,64240,32767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,166_168
10.10.10.165-9.65.217.162-80-17773-172,10.10.10.165,9.65.217.162,80,17773,6,2024-06-01 16:09:33,0.17309188842773438,658609.7190082645,11554.556473829201,5777.278236914601,5777.278236914601,1,1,60,54,60.0,60.0,60.0,0.0,54.0,54.0,54.0,0.0,60,54,57.0,3.0,9.0,20,20,20,1,0.17309188842773438,0.17309188842773438,0.17309188842773438,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,57.0,64240,32767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,177_179
10.10.10.165-7.181.165.56-80-18163-175,10.10.10.165,7.181.165.56,80,18163,6,2024-06-01 16:09:33,0.03910064697265625,2915552.7804878047,51150.04878048781,25575.024390243903,25575.024390243903,1,1,60,54,60.0,60.0,60.0,0.0,54.0,54.0,54.0,0.0,60,54,57.0,3.0,9.0,20,20,20,1,0.03910064697265625,0.03910064697265625,0.03910064697265625,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,57.0,64240,32767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,184_186
10.10.10.165-15.223.154.122-80-18164-176,10.10.10.165,15.223.154.122,80,18164,6,2024-06-01 16:09:33,0.03838539123535156,2969879.850931677,52103.1552795031,26051.57763975155,26051.57763975155,1,1,60,54,60.0,60.0,60.0,0.0,54.0,54.0,54.0,0.0,60,54,57.0,3.0,9.0,20,20,20,1,0.03838539123535156,0.03838539123535156,0.03838539123535156,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,57.0,64240,32767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,185_187
10.10.10.165-88.93.234.42-80-20272-204,10.10.10.165,88.93.234.42,80,20272,6,2024-06-01 16:09:33,0.05412101745605469,2106390.5550660794,36954.220264317184,18477.110132158592,18477.110132158592,1,1,60,54,60.0,60.0,60.0,0.0,54.0,54.0,54.0,0.0,60,54,57.0,3.0,9.0,20,20,20,1,0.05412101745605469,0.05412101745605469,0.05412101745605469,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,57.0,64240,32767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,217_218
10.10.10.165-125.189.166.88-80-21008-263,10.10.10.165,125.189.166.88,80,21008,6,2024-06-01 16:09:33,0.03743171691894531,3045545.579617834,53430.62420382166,26715.31210191083,26715.31210191083,1,1,60,54,60.0,60.0,60.0,0.0,54.0,54.0,54.0,0.0,60,54,57.0,3.0,9.0,20,20,20,1,0.03743171691894531,0.03743171691894531,0.03743171691894531,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,57.0,64240,32767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,278_279
78.60.219.240-10.10.10.165-21009-80-167,78.60.219.240,10.10.10.165,21009,80,6,2024-06-01 16:09:33,203.45187187194824,1415.5681997424235,14.745502080650246,9.830334720433497,4.915167360216748,2,1,228,60,174.0,54.0,114.0,60.0,60.0,60.0,60.0,0.0,174,54,96.0,55.20869496736904,3048.0,40,20,20,1,101.72593593597412,203.39131355285645,0.060558319091796875,101.66537761688232,203.45187187194824,203.45187187194824,203.45187187194824,203.45187187194824,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.5,96.0,64,64240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,172_280_282
10.10.10.165-85.21.216.229-80-21012-263,10.10.10.165,85.21.216.229,80,21012,6,2024-06-01 16:09:33,0.9255409240722656,123171.21483771251,2160.898505924781,1080.4492529623906,1080.4492529623906,1,1,60,54,60.0,60.0,60.0,0.0,54.0,54.0,54.0,0.0,60,54,57.0,3.0,9.0,20,20,20,1,0.9255409240722656,0.9255409240722656,0.9255409240722656,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,57.0,64240,32767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,285_286
